t1_runs_vs_t2,t1_sr_vs_t2,t1_dismissals_vs_t2,t1_batsmen_venue,t1_bowlers_venue,t1_team_venue_win,t1_batsmen_form,t1_bowlers_form,t2_runs_vs_t1,t2_sr_vs_t1,t2_dismissals_vs_t1,t2_batsmen_venue,t2_bowlers_venue,t2_team_venue_win,t2_batsmen_form,t2_bowlers_form,toss_factor,t1_win_rate_h2h,match_id,winner
10.428571428571429,159.4387755102041,0.2857142857142857,1.0864192949907236,0.05565265255140325,0.5892857142857143,1.1395021158781427,0.05565265255140325,1.1395021158781424,100.0,0.05565265255140325,0.45634920634920634,1.6666666666666667,0.41666666666666663,1.1395021158781427,0.05565265255140326,0.6363636363636364,0.5833333333333334,211028,1
11.2,125.56926406926408,0.26666666666666666,1.285858585858586,0.05565265255140325,1.0,3.35658368597969,0.05565265255140325,1.1395021158781424,100.0,0.05565265255140325,0.8243241235888296,4.666666666666667,0.4182692307692308,1.1395021158781427,0.05565265255140326,0.47619047619047616,0.8333333333333334,211048,1
1.1395021158781424,100.0,0.05565265255140325,1.2378047027472314,3.75,0.6507936507936507,1.1395021158781427,0.05565265255140326,7.733333333333333,103.69047619047619,0.4,1.173596439021971,0.05565265255140325,0.6666666666666666,17.213167371959383,0.05565265255140325,0.4166666666666667,0.625,222678,0
9.5,79.16666666666666,0.75,0.7892468625734347,1.0,0.125,23.546500705292715,0.05565265255140325,8.5,128.258547008547,0.375,1.0193452380952381,3.0,1.0,1.1395021158781427,0.05565265255140325,0.5714285714285714,0.6666666666666666,225263,0
7.6,137.94871794871796,0.2,0.8859182098765433,1.0,0.25,1.1395021158781427,0.05565265255140325,7.461538461538462,115.36907536907538,0.07692307692307693,1.21558596165739,0.05565265255140325,0.5892857142857143,23.833333333333332,0.05565265255140325,0.6363636363636364,0.375,225271,1
11.5,132.44897959183672,0.2857142857142857,1.1406368176115538,0.05565265255140325,0.8333333333333333,14.627900423175628,0.0,1.1395021158781424,100.0,0.05565265255140325,0.8555555555555555,1.0,0.0,15.856583685979691,0.05565265255140326,0.7,0.5,226374,1
14.125,165.32936507936506,0.5,1.3311716159084581,0.05565265255140325,0.6507936507936507,12.055800846351257,0.0,1.1395021158781424,100.0,0.05565265255140325,1.2743484373919154,1.0,0.25,19.57880590820191,0.8518842175171345,0.4166666666666667,0.2857142857142857,238195,1
8.933333333333334,170.38888888888894,0.4666666666666667,1.743690001754518,1.0,0.6190476190476191,16.680555555555557,0.05565265255140325,1.1395021158781424,100.0,0.05565265255140325,0.7976190476190476,1.3333333333333333,0.5,9.301028130424136,1.1333915915308421,0.5625,0.5555555555555556,249227,1
1.1395021158781424,100.0,0.05565265255140325,1.1153538490495012,3.0,0.6190476190476191,10.736417724605738,0.6528263262757017,20.428571428571427,202.02116402116403,0.14285714285714285,1.2133333333333334,0.05565265255140325,1.0,25.0,0.0,0.46153846153846156,0.6,251487,0
5.2,104.76190476190474,0.6,0.701614429555606,2.5,0.0,11.189917019313024,0.3889131631378508,12.133333333333333,98.20980905530992,0.4666666666666667,1.010142873988704,4.0,0.4182692307692308,16.884361463757468,0.0,0.47619047619047616,0.2222222222222222,251488,0
1.1395021158781424,100.0,0.05565265255140325,1.379640664551243,4.25,0.6507936507936507,20.356583685979693,1.2111305305102806,6.7894736842105265,96.6017316017316,0.3157894736842105,1.0018965492179779,0.05565265255140325,0.6666666666666666,1.1395021158781427,0.0,0.4166666666666667,0.42857142857142855,255954,0
11.666666666666666,127.72429005272141,0.2777777777777778,1.3933006474041265,3.6666666666666665,0.5,1.1395021158781427,0.05565265255140325,11.3125,114.36652667256115,0.625,1.227442658535016,3.3333333333333335,0.41666666666666663,5.759668077252095,1.0185508841838011,0.6,0.5384615384615384,258463,1
12.0,149.18831168831167,0.0,1.2040748271028756,5.333333333333333,0.5,14.046500705292715,2.0,12.0,112.54662961559514,0.8461538461538461,1.227442658535016,3.0,0.41666666666666663,16.5,2.0,0.6,0.5384615384615384,258464,0
1.1395021158781424,100.0,0.05565265255140325,1.4588965064771517,0.05565265255140325,0.5,31.35658368597969,0.05565265255140325,1.1395021158781424,100.0,0.05565265255140325,1.3390621905327786,0.05565265255140325,0.6507936507936507,21.5,0.0,0.4166666666666667,0.3333333333333333,287853,0
1.1395021158781424,100.0,0.05565265255140325,0.21825396825396826,0.05565265255140325,0.0,1.1395021158781427,0.05565265255140326,6.428571428571429,165.2380952380952,0.0,1.0363694624689577,0.05565265255140325,0.625,15.046500705292715,0.0,0.5384615384615384,0.0,287854,0
5.875,129.19191919191917,0.375,1.4516903931349934,0.05565265255140325,1.0,15.379834038626049,0.05565265255140325,1.1395021158781424,100.0,0.05565265255140325,0.5074074074074074,2.25,0.0,1.1395021158781427,0.05565265255140326,0.5384615384615384,1.0,287855,1
3.75,148.21428571428572,0.75,1.1966773622626619,6.666666666666667,0.75,18.98436146375747,0.5278263262757017,6.25,97.87037037037037,0.25,0.8330697080697081,8.0,0.5,1.1395021158781427,0.05565265255140325,0.3,0.5,287856,0
1.1395021158781424,100.0,0.05565265255140325,1.2125289851096301,3.0,0.5,32.22222222222222,0.611111111111111,9.285714285714286,204.7619047619048,0.0,0.9789526178338807,0.05565265255140325,0.3333333333333333,1.1395021158781427,0.0,0.4166666666666667,0.6666666666666666,287857,0
6.857142857142857,99.06462585034014,0.42857142857142855,1.1206604595181433,4.0,0.5,11.963167371959381,0.611159659609035,4.285714285714286,74.16999666999666,0.42857142857142855,0.8330697080697081,5.0,0.5,21.333333333333332,2.5,0.3,1.0,287858,1
